CCAA;SEXO;EDAD;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P17E;P17F;ECIVIL;P19;P20;P21;P22;P22A;SIMPATIA;ESCIDEOL;RECUVOTOG;CERCANIA;ESCUELA;NIVELESTENTREV;RELIGION;PRACTICARELIG6;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL;SINCERIDAD
1;1;34;4;5;1;2;4;4;2;1;4;1;3;2;0;1;1;1;0;0;6;2;28;3;11;4;0;1;1;5;5;4;1
16;1;48;4;4;4;4;4;8;4;2;2;1;3;2;0;1;1;1;0;9999;7;0;1601;3;12;4;0;1;1;2;1;3;2
10;1;55;1;2;1;1;5;5;5;1;1;1;1;1;0;1;1;1;0;0;10;0;9998;3;11;2;3;1;3;2;3;3;1
10;1;52;4;1;2;2;4;5;2;1;2;1;1;1;0;1;1;1;0;0;3;1;1;3;14;2;1;1;1;2;1;2;1
13;2;61;4;1;1;2;4;5;5;2;1;1;1;1;0;1;2;1;0;0;3;21;21;3;11;1;3;1;1;4;3;5;1
7;2;43;4;2;2;4;2;4;2;1;2;1;2;1;0;3;2;1;0;0;3;1;8;3;10;6;0;1;1;3;3;3;1
10;1;46;5;5;4;2;5;5;4;1;2;1;2;1;0;1;1;1;0;0;4;21;9997;3;8;4;0;1;3;1;3;3;1
5;2;41;1;2;4;1;2;1;4;1;4;1;2;1;0;1;2;1;0;0;10;503;2;3;5;2;1;4;0;0;5;4;1
1;1;72;5;1;5;5;2;1;2;1;1;1;2;1;0;1;1;2;5;9;3;9998;9997;3;11;6;0;2;0;0;3;5;2
9;1;53;4;2;4;4;4;4;4;1;2;1;1;1;0;1;1;1;0;0;3;1;901;3;7;2;1;1;1;2;1;5;1
9;2;83;1;5;1;1;9;5;5;1;1;0;0;1;5;1;2;1;0;0;10;2;2;3;4;2;2;7;0;0;4;3;2
1;2;46;5;4;4;5;5;5;4;1;2;1;2;1;0;1;2;1;0;0;5;1;1;3;13;3;2;1;3;2;4;4;1
9;1;80;2;4;2;1;4;5;2;1;2;0;0;3;4;1;1;2;5;0;6;1;1;3;4;2;1;2;0;0;6;4;1
6;2;54;4;2;2;2;4;4;4;2;2;2;4;5;0;1;2;1;0;0;2;21;8;3;11;1;5;1;1;2;3;5;1
